Scrape started at 2025-12-09 21:02:55.337802+05:30
[2025-12-09 21:02:55] --- Starting DishTV Scraper ---
[2025-12-09 21:03:00] DISH SUCCESS: 160750 -> all-time-movies.json (09/12/2025)
[2025-12-09 21:03:00] DISH SUCCESS: 142650 -> argus-news.json (09/12/2025)
[2025-12-09 21:03:00] DISH SUCCESS: 142715 -> big-magic.json (09/12/2025)
[2025-12-09 21:03:00] DISH SUCCESS: 160750 -> all-time-movies.json (10/12/2025)
[2025-12-09 21:03:01] DISH SUCCESS: 157576 -> cartoon-network.json (10/12/2025)
[2025-12-09 21:03:01] DISH SUCCESS: 142715 -> big-magic.json (10/12/2025)
[2025-12-09 21:03:01] DISH SUCCESS: 142650 -> argus-news.json (10/12/2025)
[2025-12-09 21:03:01] DISH SUCCESS: 140063 -> b4u-movies.json (10/12/2025)
[2025-12-09 21:03:01] DISH SUCCESS: 142683 -> assam-talks.json (10/12/2025)
[2025-12-09 21:03:01] DISH SUCCESS: 142507 -> aaj-tak.json (09/12/2025)
[2025-12-09 21:03:01] DISH SUCCESS: 143820 -> star-kiran.json (10/12/2025)
[2025-12-09 21:03:01] DISH SUCCESS: 142636 -> and-flix-hd.json (09/12/2025)
[2025-12-09 21:03:01] DISH SUCCESS: 142636 -> and-flix-hd.json (10/12/2025)
[2025-12-09 21:03:01] DISH SUCCESS: 157576 -> cartoon-network.json (09/12/2025)
[2025-12-09 21:03:01] DISH SUCCESS: 77447 -> 9xm.json (09/12/2025)
[2025-12-09 21:03:01] DISH SUCCESS: 77447 -> 9xm.json (10/12/2025)
[2025-12-09 21:03:01] DISH SUCCESS: 142694 -> b4u-bhojpuri.json (09/12/2025)
[2025-12-09 21:03:01] DISH SUCCESS: 142639 -> &privé-hd.json (09/12/2025)
[2025-12-09 21:03:01] DISH SUCCESS: 90012 -> 9x-jhakaas.json (10/12/2025)
[2025-12-09 21:03:01] DISH SUCCESS: 90012 -> 9x-jhakaas.json (09/12/2025)
[2025-12-09 21:03:01] DISH SUCCESS: 143271 -> kolkata-tv.json (10/12/2025)
[2025-12-09 21:03:01] DISH SUCCESS: 142694 -> b4u-bhojpuri.json (10/12/2025)
[2025-12-09 21:03:01] DISH SUCCESS: 143218 -> jalsha-movies.json (09/12/2025)
[2025-12-09 21:03:01] DISH SUCCESS: 143820 -> star-kiran.json (09/12/2025)
[2025-12-09 21:03:01] DISH SUCCESS: 142507 -> aaj-tak.json (10/12/2025)
[2025-12-09 21:03:01] DISH SUCCESS: 142504 -> 9x-tashan.json (09/12/2025)
[2025-12-09 21:03:01] DISH SUCCESS: 140063 -> b4u-movies.json (09/12/2025)
[2025-12-09 21:03:02] DISH SUCCESS: 158138 -> abp-news.json (10/12/2025)
[2025-12-09 21:03:02] DISH SUCCESS: 158138 -> abp-news.json (09/12/2025)
